Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0x361Be685568E802c02a655bB48eF9Ff82680eFEF : 1,590.14
0x2b094507bAD2eeeb245443c5142eBf442ECa5a59 : 1,571
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 1,567.01
0x396C01E06606767C948Ea2e937f684cC02eCC181 : 1,557.56
0x6bECDFC07c8313D21e6AB44d166D6697596c23b6 : 1,551.7
0x2eb8a74B3f79d664ec03D08B8f546E91B2F94836 : 1,540.06
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 1,538.56
0xdFeb3ef293aA4aeabA86bB8D3b619303Fde53f16 : 1,526.54
0x31376cb67d60E21eDe7Efc97d49F293a0Ac2FdeE : 1,516.61
0xC78623dfD491b7Cb7D9ec1fBBD1cC29d331D6D4f : 1,470.62
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 1,443.92
0x2cAA7C37d4978336b73d04Cf3bC2EBD1BA61C405 : 1,443.3
0x478D5CF520E542D8f725acA093E4960379Cd146A : 1,441.37
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 1,440.29
0x1108fE546560982de6FBB2300b2F343e6aAEA5F6 : 1,433.44
0x169EF4fc4dC9360e01130E3920cD7F3d05fCF6C8 : 1,421.97
0x18b974360C6261C0eE9F87A04DA5E9B2f4447378 : 1,421.05
0xE66A702FC2D54bc1162f6fb32B85cc21e1594C4b : 1,390.17
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,385.15
0xa1aC1754a6b0411618299d95bbB44Ac70a09e746 : 1,383.57
0x71df5aF73A3edf756A88f81a3308378dca288EF1 : 1,382.04
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 1,348.95
0xa195eacea34bb3B6441a91825aCa24D31134BA47 : 1,316.16
0xc51A3F86c1B55ff825341C416e31AA82457681Da : 1,295.27
0x3E4D9Cf594a489164D6f5482dcEf28146A9Ec408 : 1,287.03
0x62bE88bc032F6a01e67575327CbEFdC2d8a1ca70 : 1,251.02
0x1847dc050A3680770E63C4284f3be75453eDAbeB : 1,245.31
0x94f453424C77F0A3E3501Ae6bea2aD6744e589bA : 1,205.94
0x2CdcE166413542C6F0E45a69c0bEE1a227a71DdF : 1,199.97
0xc49584AB9053F5328170FDb5E27D99DFbB51724A : 1,184.76
0xcaAb5F1f1Fde4B6CF73527Af2418d63c905e7820 : 1,167.89
0xAFD2F0Fd4Fb42891f34185ab2C2e8acf8dC70847 : 1,156.21
0x46393A87CfE5Bb896c1e6F39beeaB08f99928566 : 1,154.84
0x4DbffFC26d059477B534f3074407382F6BCfc6F1 : 1,149.81
0x544Af9083a56820eA0D5bBe8304d462098a506EA : 1,131.71
0x28821a5FDF9ADf88a1Cb83721a827C423d1F230C : 1,124.49
0xe25db79B5B0BA2701FCa1509E1f00b3805cf6F9B : 1,116.84
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 1,107.02
0xee6E45763398b3a74A1f47fdfE5cB1cB1988E723 : 1,093.21
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 1,088.29
0xdfd478BAEb8C579d4b119c46eC0C220c4C4263ae : 1,079.62
0x65fC17fBbB72109FcF522B547da941f6A3213148 : 1,062.22
0xFFFCAcB695BbAdCd18925beC9f3193bA8a1b7A32 : 1,049.84
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 1,033.31
0xffFF1103C269f36d7D63dBc2E3B3710314722650 : 1,027.31
0x025632ef2134719143c5A3a30De665c19829a788 : 1,008.67
0xA8146af2b1f5154Bd357F7d3EB6de6556C30889F : 996.02
0xEF85e4964CaFc510844D727b3ceE8B6267176603 : 972.73
0x507fF347c21E78d2bEA4Cbd2345FAA14feB59980 : 958.45
0x34b92b726cDf7328DfB101C047404106849Eb0CF : 950.84
0x5161CD7243082daBaf921DC27c463dcb9B503809 : 936.93
0x9e1EA9a3D5fC5e85f6F7d0A202BFCc3e3FBaeDc5 : 927.91
0xC9Ca98b597b742c28156cFbC079D99FFBEe6ad44 : 923.33
0xc983740668b1406B05F1c809808B154a8FDaC836 : 917.95
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 915.23
0xB9e55A3C2a0F47189b22f9DE2852005fb2F885ea : 884.86
0x6c59EB74717bacfA1AcB912e48D1253205c4c25b : 861.7
0x25d6AF19EFEC5121375D32801d33769d12DADD79 : 856.46
0x39530360EaCD386fA0803c1e0290f6fE0EEAc7C1 : 849.39
0x5B84b44576797699a23E4821623eaa81a06343A3 : 848.26
0xa3F910F7C94465eB7A98A389bdED282EE9Ed195E : 840.3
0x162D0641c7bb640A28714DF7327cAbF48E78e12C : 835.33
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 827.73
0x9a9710d84aFAb281ca59C33A22D5CD2937cE8F8f : 825.94
0x8FE62e15Fa6979c5cc2abF0A07406Cd166e0b201 : 818.08
0xF11DE9AB618dDB7e9AEFB6ee3d91E1F4ee6B0Ea0 : 794.34
0xDff72fD0c56Ecbd6F4d0c2443852BC2FD83c2Be8 : 790.87
0x2bBff1B48964fA1b90a02652C41F7ECD15F5914b : 788.64
0xEb257F027EB550B932C439db69d9197EF60f52Cc : 779.84
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 769.3
0x35118337B9241eE8413E01069Df4Fd5628Ac05cB : 764.31
0x2c3cA23Fd8CccDCdd08B92Eb8B7d6587683D3856 : 741.83
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 739.28
0xceF9b1AdEd54B5aD88dc8Ddf4de4bB08d0D7465B : 718.16
0xAe63dd8511F6D5cbB2157EaD09d6e5A0c63F174b : 715.71
0x4519e3dBdD9B780c82167AA1a4aa8607f47511e4 : 711.1
0x26849d28d8d751A04D7C089b0701E01fb8F7e2a8 : 704.38
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 701.88
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 701.85
