Mintopoly Money Airdrop (1,000,000 to top 200)
https://polygonscan.com/tx/0x5f23bfb8b27098c42d8a8c0694dcbcfa92e756e359db758d0d647f10da70fcf4

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x01f8ebb2c00200607b05f3cc135ffc5525b4701e816773c26c951a2d6302ef46

Closest to m100,000 without going over (Smart Contract Bonus)


TOKEN ALLOCATION
0xD696Cb21970eCabEDA4416f8dc8DCcf0417e1Ffc : 805.62
0xdfd478BAEb8C579d4b119c46eC0C220c4C4263ae : 800.38
0xd14eD6D42BF3f31d3486F59386B7De79Ec0BB11A : 797.98
0xeda3311335df9395c1EB0770d8486dE7391c059F : 790.9
0x46aa1F1109b6BD9d87959a86978f04be6f040D29 : 788.94
0xFDb2f929A79AA3f380FBD1fE3A4B56F505fBb814 : 786.58
0x39C007a867821779048C9F7Cc39494c617530611 : 783.68
0x4282658d4fB16B573E898D3C14B6775A94dBde4F : 782.49
0x35D9408CFd9869B2D89bB7c3A354dE835B5bf9a2 : 777.15
0xb81A2F71688519eB20cF70289F178912AF47C20b : 775.58
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 770.77
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 768.47
0x8a1de51AB64c1dA66cD533738b45D3e8e40DB3BF : 766.07
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 763.45
0x4b66334fbfA6dd5F5F45b64e33f9695162070397 : 752.91
0x1bb02c16ba7ab0c063EFa54e8eb73fcc6705525b : 748.79
0x20364Bf7CAb63509D69cdc164d17a8bC93481d85 : 747.61
0x21C1ABCFCE923f812286E79B18DC64a373B1E7a5 : 747.02
0x758B25034445f2ae701cf12dA628C7B9963916a7 : 742.19
0x2a541f2be2fC2152BD454d9C3b47dbc635Be21A4 : 738.2
0x18b974360C6261C0eE9F87A04DA5E9B2f4447378 : 729.5
0x1F6fA14d9707BC52196a95aE82a80487Fa099821 : 721.79
0xdD184CAc1AaEcaF7CDd441E2D68e8B11f4dD1F46 : 721.03
0x9d41f0C588Cf1b123fe5868fDd2f7b9550eC7938 : 697.46
0x79c7dc1E4CDe4D9701F5bcd6F6Dc34a492C5623e : 693.71
0x4E44653Cef134A8241f5D288847727D1a6B2Db3d : 686.91
0x1C6776718C2C251014b99Ed525969424a3419c52 : 686.42
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 674.11
0x56a92861913129200c82891a39F6408281411a38 : 673.87
0xb169c84D6e5aE4CA5D0ABf6DB00B9abDCE8C6945 : 671.77
0x1c1a7393394034559c11A8B44f1EDD0d68670C7f : 664.05
0x72d59fa86133D75E5E7C4F32AA90516BDBD605A1 : 658.66
0x95Aa55414348155b1E45a4151761cAF09A260453 : 656.99
0x88e5975A288Be3033d6905dC664B7d65338C0616 : 652.6
0x57265EaA8982718F6f7c6bE1dCEcb53C116f5D67 : 645.84
0x5B49261B5d4Cc4d5e766D69b4fCA057F70b62fB4 : 640.21
0x5C8f70f0380351484a6bF7Bd101C06dB91Ec7A00 : 628.75
0x6866E6DD6993dBb4d94f7f73297bae565Cf76a67 : 618.75
0xb2d0ce330C04951848Cbeb2Fa8De662ACDaA7e69 : 616.08
0x74f08e41435f12246D560B793988f53D0746eb0c : 613.38
0xa5EDCCcb806Ecc1920Ac3ab3cb79F240263c2B03 : 607.84
