Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0xed25e9589fca2a704b8a43a0bb619576245ebf8a0eeb58397ec0e7142bf38045

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x2911e50ee298b9a977016d1e31e545340932d8f080bbcc5587e1cdbfd7b93771

Yield Farm Card (2x players with most total investments owned - all players & those with 2 cards or less)
https://etherscan.io/tx/0xdd52417c2dd4340d514f9f03a1a151be6f85af55e521e8dbf8f6dcf94df5f0fb
https://etherscan.io/tx/0x60ea9e253f649424c765d53e1c7a1152260294a7c9fa3c6c031e493d73c686d9

TOKEN ALLOCATION
0x7CF5c60d31E7b6e8C924f37071B54112e3Ac8488 : 2000
0x331E4D195ef59E7F15eC6eAe7a219EA966Aa29c8 : 2000
0x8a2F6f8931CC5B1dA960F045e1818ab6C9E0D446 : 2000
0x2CdcE166413542C6F0E45a69c0bEE1a227a71DdF : 2000
0xF1c42C093B99039cf39A870c8634bE409F9099DA : 2000
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 2000
0x44112eE30801b0227E4Fbdd7eb1D7424f8cA520A : 2000
0xFa3C734aa0861e4bB3429C0D65B3668894615368 : 2000
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 2000
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 2000
0x2e9eC6EAb1384c1b046da544cC8e1f4126656C56 : 2000
0xC66eCc6E3575d943E220538400dA7d714C942206 : 2000
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 2000
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 2000
0x17dB2d3e50aBA339e5c989Aa01FBbD3682af93E8 : 2000
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 2000
0x3DFE0D0AD0d3Ce61dEC7111ef20aBCE881eF27c4 : 2000
0xF9c238dd20D0Fb8dE6CA2C84cF9b5220b1d5e9bD : 2000
0xBc2f558D01ef5e513178A0abA4B62394D2081845 : 2000
0xe4Ea271b7A4439E53fB55cE630E558Fe84443e25 : 2000
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2000
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2000
0xFFFCAcB695BbAdCd18925beC9f3193bA8a1b7A32 : 2000
0xbFbA777a1951497373f841Af9a9E35F67c20ba9b : 2000
0x398E45E4ad41C8627cd1cae746FCe515c63Be086 : 2000
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2000
0xCE0E2538CaDCB5E9dAD2BaC94b51299B8e322C54 : 2000
0x074426EAc2Bf274F256171d7FeBFba19ecAa1E0e : 2000
0x9bFEA231D9b902Bc35D266EA6be4cD24e16673D4 : 2000
0xdE32E6D7CB67098612e15418CF4d20C53194556e : 2000
0x41090448Ff92F63Fe21d22736d1510270A9d5D8B : 2000
0x021255D09d2e3479f39F6c202DD74dfC45Dd2246 : 2000
0x1847dc050A3680770E63C4284f3be75453eDAbeB : 2000
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 2000
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 2000
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 2000
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 2000
0x9d6A10916545b10041C32f78484a16A6AFd46D87 : 2000
0x49a05C0d2aed393469cD45D30c2bfb6B7942252E : 2000
0xF11DE9AB618dDB7e9AEFB6ee3d91E1F4ee6B0Ea0 : 2000
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 2000
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2000
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2000
0x51D8C6F566d815120A8980010FF720aAdAdaa54c : 2000
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2000
0xe25db79B5B0BA2701FCa1509E1f00b3805cf6F9B : 2000
0xb3AEF5e10899FD6CD6CC7C4276dB1E7f2360607B : 2000
0xFF65FDa1316947CC6D740951Cce5E76bf338B7f6 : 2000
0x94f453424C77F0A3E3501Ae6bea2aD6744e589bA : 2000
0x507fF347c21E78d2bEA4Cbd2345FAA14feB59980 : 2000
0xcaAb5F1f1Fde4B6CF73527Af2418d63c905e7820 : 2000
0x8b4A2cCB9836d70C04FE44667A9e69557570E389 : 2000
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 2000
0x1231A62E820036A5Db2341Df1D9eC7fC5FaF17fE : 2000
0xB9e55A3C2a0F47189b22f9DE2852005fb2F885ea : 2000
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 2000
0xE11a50f97683190c153bd3cFa2Cb38315e82DdE4 : 2000
0xa195eacea34bb3B6441a91825aCa24D31134BA47 : 2000
0x478D5CF520E542D8f725acA093E4960379Cd146A : 2000
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 2000
0x71df5aF73A3edf756A88f81a3308378dca288EF1 : 2000
0x1Ad4734D32fb1bA9b78D8B2642b88205478cF56B : 2000
0x47F4D5475D2652A8889550d3A49Cc9bCeF8C14E4 : 2000
0x068831b84d1549142F4d32678D8aB270CFd003F8 : 2000
0x236BB1E0BE86539DdbB258a6574320a587d6d334 : 2000
0x20D7957A50a16b9561faf24e28b6c6fF3d85d272 : 2000
0x3a149097e4B3A778D55d2e5d2d9A0bA7C74DBf41 : 2000
0x854a9d08dFCDb1A851C78d4A99C9DAa72329D767 : 2000
0xC22d1d7d5c7712886eF1225B20EBb1B7ab92703f : 2000
0xDB5f2319Fc6529771F3a87292545F28088878947 : 2000
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2000
0x333eF9dACf77d97e02F587Dede8158c977Cee1f6 : 2000
0x10F8FBBB10fDA101Ba0664c7299b4c369E891131 : 2000
0xf302da915eB0ae73FbcAb92569CFFB731D0032Fe : 2000
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 2000
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 2000
0x383400A62eFcBB53cFCf61CDaFF1046A77ADFf65 : 2000
0xC1DC269e8473f7DEE2441C7061653771A046ddC3 : 2000
0x5fc427F7c5C1a106b391331cfC7E65433f9235d6 : 2000
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 2000
0x64e4736c58724Eb7c7e2681Dd46b40bEb5C9d482 : 2000
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2000
0xee6E45763398b3a74A1f47fdfE5cB1cB1988E723 : 2000
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 2000
0xa3F910F7C94465eB7A98A389bdED282EE9Ed195E : 2000
0xAe63dd8511F6D5cbB2157EaD09d6e5A0c63F174b : 2000
0x78911455f3B9Ca8F184b038a492bAEf87E846f44 : 2000
0x1EEE663A2C081169123E2B906407F7b597bB88a5 : 2000
0x44219fe02d93955299eACc9D59E36FAb4D8B87be : 2000
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2000
0xDC1A31A9b8c4D6316D4a3fd0d4B0C4E1717C57c2 : 2000
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 2000
0xAFD2F0Fd4Fb42891f34185ab2C2e8acf8dC70847 : 2000
0xb2E76C1C7B18daAB0d80cD6d98d975E2C3F25E69 : 2000
0x8f1D468bdB9D038063Ae78921f242ac3799F4C35 : 2000
0x1bb02c16ba7ab0c063EFa54e8eb73fcc6705525b : 2000
0x4b66334fbfA6dd5F5F45b64e33f9695162070397 : 2000
0x88B998cf59450FBA5CaF3dc28518369CD062340B : 2000
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 2000
0xFDEE46ea2bD2E715931bC4dBAC276dAE684268D1 : 2000
0x39Cfb02d8b68a429b72549D4F971203D2A79374e : 2000
0x2A7D51537DaEf42AE0fAA26b27457B9ff03b616E : 2000
0x19D894c0483BF404160363147C7037E1594F1de2 : 2000
0x262d7Be6cB46d602B4c994a32912f38AAa5da941 : 2000
0xC2D2d9f2453E32d447d6903d0Cc45C3b02Bf2c59 : 2000
0xDff72fD0c56Ecbd6F4d0c2443852BC2FD83c2Be8 : 2000
0x025632ef2134719143c5A3a30De665c19829a788 : 2000
0x6A524E781f65Ae2da873a0FeE24329197F2D3742 : 2000
0x0FEaa08540720aEa50e0F55dcEACa3346d7676fc : 2000
0x304B0d0d59B76FeF101d13cafE38F18F50821a1D : 2000
0x5dBdBa70714fe9048a6c09D0B313e098441c1596 : 2000
0xe5C5bDB1ad8110160cA3577A13B6967a1F93E95E : 2000
0xd89078000e820B42693714dE25e6C59695Dbc651 : 2000
0xCEc8F592748fBe855A19130238D515b686844533 : 2000
0x65fC17fBbB72109FcF522B547da941f6A3213148 : 2000
0x97EbBfa12a163c0e7BE5FF5571aA657Ee8f81be8 : 2000
0xE85AD2d662EEC10858aA3AE726265E394fA983D3 : 2000
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 2000
0x808bb1Eb7F31ff30797b6FBcc12EF163Ef4b3b36 : 2000
0x7849B9F9983945805A9ecE9adbe2Ef6C9b3E0B80 : 2000
0x7C9931b64C417F44A610812f71AE1510F43530ff : 2000
0xa52c7e9BdCc973Fb4Bab286924893193479C9703 : 2000
0x5D844dc06b6ACAeE45f9730B585f14aFF24F8740 : 2000
0x81F2539BA5EA6B988D4eBE38850944CdeF76765F : 2000
0xD837b5d83900de088300F24F34B03945B33A2e56 : 2000
0x9a9710d84aFAb281ca59C33A22D5CD2937cE8F8f : 2000
0x2bBff1B48964fA1b90a02652C41F7ECD15F5914b : 2000
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 2000
0xAcd9C84C1FfCE27A346Fb0b43461132316986D26 : 2000
0xA27D377c1d9F1B9Acdfbfe895d0B0Dd36d429846 : 2000
0x67F7986D081314b2439d6882570558C13480AD1C : 2000
0xf7E3B4B9DB0F06173EecEEce4f766B1Fe9e9cd10 : 2000
0xdbB9FF76460F11d18A4A121F563431E1b0c906B4 : 2000
0xd019764CaFEbDA320567c798bC5660566d0099a9 : 2000
0xdfd478BAEb8C579d4b119c46eC0C220c4C4263ae : 2000
0x9A3215ff09672E717f5B399f2f7265CC52f97838 : 2000
0x0Bd71f90b111cEB0D91069df0220D326241C7DF2 : 2000
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 2000
0xF0737CbCa62778CC9e63Fbc31BA7d364bC36298b : 2000
0x496b8dc3BC4635B43D51BD29510Be7199650D56D : 2000
0x82588bED33DBcd8EEc164F6E85cf24C898237bb7 : 2000
0x0b583737E850ea1B2dC854CC0Eb2dA9f2645124C : 2000
0xFe5dFfB8f8E098DC49Ea3651be5357058D730B4b : 2000
0x45F9C188a212168F8e450597702D0182d0328A9e : 2000
0x062A1E80365aebFCC8DAf93D59F4eB9a8Cb64086 : 2000
0xaC93ff38D6Edde7846d24494f741FD697cbF7612 : 2000
0x9C95f6CeF2Dc61279a06Ea383D96CB000B95ECba : 2000
0x165C761F496e78407CD93ddEAc116Fb8DA2a7E5F : 2000
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 2000
0x480F03c92fdDE70a2bDd5c6B022C96f736f5B8B5 : 2000
0xEc0f4CDF1c3e3B9Af89e6E503EBfF09122Cc4372 : 2000
0x188528351E2A1Db2a1F43f8dcdF2b9F2239f4C26 : 2000
0x67Fdbd785C7DB8aBAfD541E1C9e1bbb373b77791 : 2000
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 2000
0xEaacfd4C07c6617D8062041a1B9a1ef022E7F91c : 2000
0xB164fe52D066ECFa1Bda8932DEDE5cE843860E3F : 2000
0x9111b7aD6422f63f9C6329EF7D23345fb94880Da : 2000
0x35B0359565Ff00FBD48f3f099dA2e236fbe3867F : 2000
0x77576B01Ff4bc03b6F8FF1398793f23832e570C7 : 2000
0x5009DBaCd4006Ce486175c913F7D0891cCAd5272 : 2000
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2000
0x39530360EaCD386fA0803c1e0290f6fE0EEAc7C1 : 2000
0x300407a0d927BB54c54AE65af3A1e602D4DCf50a : 2000
0x0F384287ba68ef147f68BabBF8E478C841D91c49 : 2000
0x13482B3080D0EFF689054A65f0A869B3EA4d3654 : 2000
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 2000
0x1B9b9877cF01a149A12513Ee44259BA6d5510C01 : 2000
0xecb75f2121Eb2be156C9Dbbea16D9FB48b3E262C : 2000
0x9a77d3748B087E2B14E72222D58f96F74721413a : 2000
0x013b130e7fE4FE78B6B5D1D75eEf21bE421783E0 : 2000
0xffFF1103C269f36d7D63dBc2E3B3710314722650 : 2000
0x4E06ED60d6824FB7bF145B0311DB3405B2a96B39 : 2000
0x34F02AEB1fda4f4c8281eA1a8E7E62373303208D : 2000
0x28C3bb33Dabc42eB542e5FdF6D386B9e51A57693 : 2000
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2000
0x162D0641c7bb640A28714DF7327cAbF48E78e12C : 2000
0xF90f8f304142456Ea139F7c132802e541073Fca6 : 2000
0xbf6D889a02D57A046D51CD93bD786d576c0Df99D : 2000
0xA4061C63480A9E81c4c9535c9b6BB5b7251C3970 : 2000
0x634334d0258e8F79304A2Ac7F7d5e149b558e0c4 : 2000
0x12d025c6916E8116c54bFC25fc62F51A091f9024 : 2000
