MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xa4fddc00d72532f1b6d48c98d02bad1d5e976fc1a49f4f050b8695ab0a01155c

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Yield Farm NFT (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xf5810da804892f385d6a284150dc09ce873584cf3d0bf8b2b5fb741ce2431bef
https://etherscan.io/tx/0x05cbfa60810140dd3057d892732dbc8321741d08f19cbd3c91eda83d71a72f58
https://etherscan.io/tx/0xd42e37d116adbcb1a632fe3843da5e345f97a9259e365b46c705229d29652901

TOKEN DISTRIBUTION
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 609.78
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 606.05
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 603.17
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 569.83
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 567.89
0x1e1df988329853CF30603551E87DB661cECa9cDf : 564.78
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 552.84
0x17D9C051F87C4A685dB7F84B54b78d61Ec474090 : 549.96
0x21B96812C00F81f66ae1293f68D762a20935326d : 510.15
0x4f4181E585D135242FAfA45dC21066a2C882613c : 493.73
0x634334d0258e8F79304A2Ac7F7d5e149b558e0c4 : 474.29
0x3C9DE7674b7066b15064B546Cd613e510E7aD3c2 : 453.14
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 436.6
0xa4ab0E2884E9AD61a5Ab3F5E0748B56AfCd1673f : 436.58
0xc350074E658ca8731dC9b2bB720A660BFb01DCc9 : 392.73
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 392.53
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 377.93
0x17dB2d3e50aBA339e5c989Aa01FBbD3682af93E8 : 364.37
0x72d59fa86133D75E5E7C4F32AA90516BDBD605A1 : 344.41
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 342.33
0x62bE88bc032F6a01e67575327CbEFdC2d8a1ca70 : 330.98
0x6726d208bA943B20933491FF004AA7188b70ae79 : 330.71
0xF1c42C093B99039cf39A870c8634bE409F9099DA : 323.53
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 322.08
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 321.43
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 316.72
0x84424208C4a885fD8Bb5aE26D96e38d1A972d58d : 309.71
0x5012D3291A9188E95C204D29aD2F94E783A1f8fB : 309.39
